algorithm,budget,coverage,cost_per_coverage,time
random,520,50,10.28,0
bad_greedy,520,49,10.4898,0
k=1,520,59,7.91525,843
k=2,520,59,7.91525,26172
dynamic,520,59,8.79661,3455
greedy,520,59,8.62712,19
random,520,32,16.25,0
bad_greedy,520,51,9.98039,0
k=1,520,59,8.61017,809
k=2,520,59,8.61017,23527
dynamic,520,60,8.66667,1950
greedy,520,60,7.1,12
random,520,48,10.7708,0
bad_greedy,520,52,9.67308,0
k=1,520,60,7.1,761
k=2,520,60,7.1,22204
dynamic,520,58,8.94828,6949
greedy,520,58,8.06897,9
random,520,49,10.6122,0
bad_greedy,520,45,10.9111,0
k=1,520,58,8.06897,570
k=2,520,58,8.06897,18397
dynamic,520,60,8.61667,2269
greedy,520,59,8.08475,13
random,520,47,11.0426,0
bad_greedy,520,45,11.1333,0
k=1,520,59,8.08475,707
k=2,520,59,8.08475,20929
dynamic,200,51,3.90196,922
greedy,200,48,3.58333,8
random,200,32,6.21875,0
bad_greedy,200,34,5.55882,0
k=1,200,48,3.58333,536
k=2,200,48,3.58333,15660
dynamic,200,45,4.44444,314
greedy,200,44,4.40909,10
random,200,27,7.33333,0
bad_greedy,200,28,6.78571,0
k=1,200,44,4.40909,586
k=2,200,44,4.40909,16424
dynamic,200,56,3.53571,1973
greedy,200,56,3.32143,9
random,200,39,5.07692,0
bad_greedy,200,42,4.59524,0
k=1,200,56,3.32143,553
k=2,200,56,3.32143,17300
dynamic,200,54,3.66667,546
greedy,200,54,3.66667,9
random,200,38,5.23684,0
bad_greedy,200,36,5.33333,0
k=1,200,54,3.66667,425
k=2,200,54,3.66667,14184
dynamic,200,50,3.94,347
greedy,200,50,3.68,8
random,200,38,5.23684,0
bad_greedy,200,35,5.31429,0
k=1,200,50,3.68,531
k=2,200,50,3.68,16217
dynamic,480,60,7.31667,1428
greedy,480,60,7.43333,12
random,480,49,9.7551,0
bad_greedy,480,48,9.5,0
k=1,480,60,7.43333,697
k=2,480,60,7.43333,21122
dynamic,480,59,8.11864,4553
greedy,480,57,7.4386,13
random,480,52,9.19231,0
bad_greedy,480,46,10.2391,0
k=1,480,58,8.25862,780
k=2,480,58,8.2069,23385
dynamic,480,59,8.13559,2913
greedy,480,58,7.53448,11
random,480,41,11.6829,0
bad_greedy,480,41,11.5854,0
k=1,480,58,7.53448,635
k=2,480,58,7.53448,19456
dynamic,480,57,8.42105,1186
greedy,480,57,8.10526,10
random,480,50,9.58,0
bad_greedy,480,45,10.2,0
k=1,480,57,8.10526,602
k=2,480,57,8.10526,18646
dynamic,480,56,8.55357,442
greedy,480,56,8.125,12
random,480,42,11.381,0
bad_greedy,480,44,10.8182,0
k=1,480,56,8.125,679
k=2,480,56,8.125,20406
dynamic,400,59,6.74576,3829
greedy,400,59,6.74576,14
random,400,44,9.06818,0
bad_greedy,400,49,7.67347,0
k=1,400,59,6.74576,787
k=2,400,59,6.74576,21261
dynamic,400,54,7.38889,754
greedy,400,53,7.01887,14
random,400,43,9.27907,0
bad_greedy,400,39,9.66667,0
k=1,400,53,7.01887,743
k=2,400,53,7.01887,20257
dynamic,400,58,6.87931,1109
greedy,400,57,6.91228,12
random,400,41,9.7561,0
bad_greedy,400,42,8.92857,0
k=1,400,57,6.91228,743
k=2,400,57,6.91228,21765
dynamic,400,58,6.82759,34399
greedy,400,58,6.63793,10
random,400,46,8.67391,0
bad_greedy,400,45,8.35556,0
k=1,400,58,6.58621,611
k=2,400,58,6.58621,18481
dynamic,400,59,6.74576,5357
greedy,400,59,6.01695,9
random,400,44,9.09091,0
bad_greedy,400,44,8.5,0
k=1,400,59,6.01695,528
k=2,400,59,6.01695,16299
dynamic,360,57,6.2807,1394
greedy,360,57,6.29825,10
random,360,40,8.975,0
bad_greedy,360,48,7.4375,0
k=1,360,57,6.21053,636
k=2,360,57,6.21053,18591
dynamic,360,56,6.41071,881
greedy,360,55,6.14545,11
random,360,29,12.4138,0
bad_greedy,360,42,8.47619,0
k=1,360,55,6.12727,615
k=2,360,55,6.12727,19171
dynamic,360,57,6.17544,2589
greedy,360,56,6.32143,13
random,360,42,8.54762,0
bad_greedy,360,43,7.90698,0
k=1,360,56,6.32143,657
k=2,360,56,6.32143,19244
dynamic,360,59,6.05085,2921
greedy,360,59,5.91525,8
random,360,46,7.76087,0
bad_greedy,360,52,6.86538,0
k=1,360,59,5.91525,533
k=2,360,59,5.91525,16615
dynamic,360,60,5.98333,1016
greedy,360,60,5.71667,12
random,360,47,7.6383,0
bad_greedy,360,41,8.7561,0
k=1,360,60,5.71667,572
k=2,360,60,5.71667,17547
dynamic,360,54,6.64815,1688
greedy,360,54,6.59259,11
random,360,42,8.57143,0
