algorithm,coverage,time,coverage per budget
greedy,28,1,15.8214
dynamic,28,129,15.7143
brute_force,28,940,14.8929
greedy,27,0,16.5926
dynamic,27,435,16.6667
brute_force,27,1139,16.2963
greedy,26,1,16.8077
dynamic,26,222,16.8462
brute_force,26,726,15
greedy,24,0,16.6667
dynamic,28,304,16.0357
brute_force,28,2057,16.0357
greedy,27,1,16.2593
dynamic,28,189,15.6786
brute_force,28,490,15.0357
greedy,27,0,15.037
dynamic,25,122,17.32
brute_force,25,2025,15.56
greedy,24,1,18
dynamic,28,419,16.0357
brute_force,28,1695,15
greedy,26,0,17.1538
dynamic,28,477,16.0357
brute_force,28,2407,16.0357
greedy,24,0,16.9167
dynamic,27,247,16.1111
brute_force,27,1665,15.4074
greedy,25,1,17.92
dynamic,25,282,17.56
brute_force,25,798,16.24
greedy,24,1,17.7083
