k=2,100,4,15.75,4,5,1154
greedy,100,6,14,2,5,1
random,100,2,42.5,2,5,0
bad_greedy,100,4,15.25,2,5,0
k=1,100,6,14,2,5,22
k=2,100,6,14,2,5,1178
greedy,100,10,9.8,3,5,1
random,100,5,17.8,3,5,0
bad_greedy,100,9,10,3,5,0
k=1,100,10,9.7,3,5,23
k=2,100,10,9.6,3,5,1198
greedy,100,4,15,4,5,1
random,100,3,23.3333,4,5,0
bad_greedy,100,4,15,4,5,0
k=1,100,4,15,4,5,23
k=2,100,4,15,4,5,1212
greedy,100,6,13.5,2,5,1
random,100,5,18.2,2,5,0
bad_greedy,100,3,21,2,5,0
k=1,100,6,13.5,2,5,30
k=2,100,7,14,2,5,1281
greedy,100,11,8.27273,3,5,1
random,100,2,45,3,5,0
bad_greedy,100,8,10,3,5,0
k=1,100,11,8.27273,3,5,29
k=2,100,11,8.27273,3,5,1211
greedy,100,4,13.5,4,5,1
random,100,4,13.5,4,5,0
bad_greedy,100,4,13.5,4,5,0
k=1,100,4,13.5,4,5,24
k=2,100,4,13.5,4,5,1154
greedy,100,8,9.875,2,5,1
random,100,2,47.5,2,5,0
bad_greedy,100,6,12.5,2,5,0
k=1,100,8,9.875,2,5,23
k=2,100,8,9.875,2,5,1158
greedy,100,7,10.7143,3,5,1
random,100,3,28.3333,3,5,0
bad_greedy,100,5,19.6,3,5,1
k=1,100,8,11.375,3,5,29
k=2,100,8,11.375,3,5,1131
greedy,100,4,17.75,4,5,0
random,100,2,40,4,5,0
bad_greedy,100,3,19,4,5,0
k=1,100,4,17.75,4,5,23
k=2,100,4,17.75,4,5,1101
greedy,100,10,7.7,2,5,1
random,100,1,93,2,5,0
bad_greedy,100,7,9.71429,2,5,0
k=1,100,10,7.7,2,5,22
k=2,100,10,7.7,2,5,1081
greedy,100,14,6.71429,3,5,0
random,100,7,14,3,5,0
bad_greedy,100,11,7.18182,3,5,0
k=1,100,14,6.14286,3,5,22
k=2,100,14,6.14286,3,5,1124
greedy,100,3,21,4,5,0
random,100,2,43,4,5,0
bad_greedy,100,1,53,4,5,0
k=1,100,3,21,4,5,23
k=2,100,3,21,4,5,1156
greedy,100,6,12.5,2,5,1
random,100,3,27.3333,2,5,0
bad_greedy,100,6,15.3333,2,5,0
k=1,100,7,13.5714,2,5,22
k=2,100,7,13.5714,2,5,1168
greedy,100,11,9,3,5,1
random,100,6,14.6667,3,5,0
bad_greedy,100,14,5.71429,3,5,0
k=1,100,14,6.64286,3,5,23
k=2,100,16,5.625,3,5,1173
greedy,100,5,12.8,4,5,1
random,100,1,64,4,5,0
bad_greedy,100,1,52,4,5,0
k=1,100,5,12.8,4,5,24
k=2,100,5,12.8,4,5,1126
greedy,100,10,9.6,2,5,1
random,100,5,19.2,2,5,0
bad_greedy,100,8,10.375,2,5,0
k=1,100,10,9.6,2,5,22
k=2,100,10,9.6,2,5,1099
greedy,100,12,7.41667,3,5,0
random,100,2,46,3,5,0
bad_greedy,100,9,10.6667,3,5,0
k=1,100,12,7.41667,3,5,22
k=2,100,12,7.41667,3,5,1127
greedy,100,3,24.6667,4,5,1
random,100,1,82,4,5,0
