algorithm,coverage,cost_per_coverage,radius,time
k=1,100,2.33,6,154
k=2,100,2.32,6,9337
greedy,100,2.41,6,3
random,100,4.6,6,0
bad_greedy,100,4.6,6,1
k=1,100,2.39,6,50
k=2,100,2.37,6,2578
greedy,100,2.33,6,3
random,100,4.32,6,0
bad_greedy,100,4.32,6,1
k=1,100,2.25,6,48
k=2,100,2.23,6,2345
greedy,100,2.73,6,3
random,100,4.4,6,0
bad_greedy,100,4.4,6,1
k=1,100,2.7,6,52
k=2,100,2.69,6,2544
greedy,100,2.62,6,3
random,100,4.67,6,0
bad_greedy,100,4.67,6,1
k=1,100,2.58,6,49
k=2,100,2.54,6,2402
greedy,100,2.51,7,3
random,100,4.79,7,0
bad_greedy,100,4.79,7,2
k=1,100,2.45,7,50
k=2,100,2.43,7,2696
greedy,100,2.42,7,3
random,100,4.38,7,0
bad_greedy,100,4.38,7,1
k=1,100,2.38,7,48
k=2,100,2.35,7,2427
greedy,100,2.09,7,3
random,100,4.38,7,0
bad_greedy,100,4.38,7,1
k=1,100,2.05,7,47
k=2,100,2.03,7,2280
greedy,100,2.57,7,3
random,100,4.94,7,0
bad_greedy,100,4.94,7,1
k=1,100,2.55,7,48
k=2,100,2.55,7,2268
greedy,100,2.14,7,3
random,100,4.41,7,0
bad_greedy,100,4.41,7,1
k=1,100,2.1,7,47
k=2,100,2.06,7,2264
greedy,100,2.36,7,3
random,100,4.69,7,0
bad_greedy,100,4.69,7,1
k=1,100,2.34,7,51
k=2,100,2.32,7,2354
greedy,100,2.02,7,4
random,100,4.24,7,0
bad_greedy,100,4.24,7,1
k=1,100,1.94,7,45
k=2,100,1.93,7,2152
greedy,100,2.08,7,3
random,100,4.49,7,0
bad_greedy,100,4.49,7,1
k=1,100,2.07,7,44
k=2,100,2.05,7,2151
greedy,100,2.23,7,3
random,100,4.75,7,0
bad_greedy,100,4.75,7,2
k=1,100,2.23,7,47
k=2,100,2.23,7,2261
greedy,100,2.01,7,3
random,100,4.74,7,0
bad_greedy,100,4.74,7,1
k=1,100,1.98,7,41
k=2,100,1.96,7,2057
greedy,100,0.26,19,3
random,100,4.26,19,0
bad_greedy,100,4.26,19,1
k=1,100,0.24,19,17
k=2,100,0.24,19,780
greedy,100,0.31,19,3
random,100,4.14,19,0
bad_greedy,100,4.14,19,1
k=1,100,0.26,19,16
k=2,100,0.26,19,703
greedy,100,0.35,19,3
random,100,4.61,19,0
bad_greedy,100,4.61,19,1
k=1,100,0.34,19,17
k=2,100,0.33,19,746
greedy,100,0.45,19,3
random,100,4.55,19,0
bad_greedy,100,4.55,19,1
k=1,100,0.42,19,17
k=2,100,0.39,19,746
greedy,100,0.34,19,3
random,100,4.28,19,0
bad_greedy,100,4.28,19,1
k=1,100,0.32,19,85
k=2,100,0.31,19,2941
greedy,100,0.36,19,3
random,100,4.55,19,0
bad_greedy,100,4.55,19,1
k=1,100,0.34,19,86
k=2,100,0.32,19,2584
greedy,100,0.42,19,77
random,100,4.63,19,0
bad_greedy,100,4.63,19,81
k=1,100,0.36,19,100
k=2,100,0.35,19,3331
greedy,100,0.39,19,3
random,100,4.62,19,0
bad_greedy,100,4.62,19,1
k=1,100,0.38,19,18
k=2,100,0.37,19,795
greedy,100,0.33,19,3
random,100,4.45,19,0
bad_greedy,100,4.45,19,1
k=1,100,0.3,19,16
k=2,100,0.29,19,776
greedy,100,0.42,19,3
random,100,4.54,19,0
bad_greedy,100,4.54,19,1
k=1,100,0.39,19,17
k=2,100,0.38,19,752
greedy,100,1.7,8,3
random,100,4.56,8,0
bad_greedy,100,4.56,8,1
k=1,100,1.63,8,38
k=2,100,1.61,8,1887
greedy,100,1.89,8,3
random,100,4.48,8,0
bad_greedy,100,4.48,8,2
k=1,100,1.86,8,45
k=2,100,1.84,8,2135
greedy,100,1.86,8,3
random,100,4.64,8,0
bad_greedy,100,4.64,8,1
k=1,100,1.81,8,42
k=2,100,1.77,8,2048
greedy,100,1.85,8,4
random,100,4.66,8,0
bad_greedy,100,4.66,8,1
k=1,100,1.79,8,65
k=2,100,1.76,8,3117
greedy,100,2.07,8,3
random,100,4.37,8,0
bad_greedy,100,4.37,8,1
k=1,100,2.05,8,44
k=2,100,2.03,8,2195
greedy,100,2.07,8,3
random,100,4.46,8,0
bad_greedy,100,4.46,8,1
k=1,100,2.04,8,44
k=2,100,2.02,8,2193
greedy,99,1.78788,8,3
random,100,4.35,8,0
bad_greedy,100,4.35,8,1
k=1,100,1.73,8,41
k=2,100,1.7,8,2023
greedy,100,1.54,8,3
random,100,4.55,8,0
bad_greedy,100,4.55,8,1
k=1,100,1.52,8,39
k=2,100,1.52,8,1849
greedy,100,1.57,8,3
random,100,4.6,8,0
bad_greedy,100,4.6,8,1
k=1,100,1.54,8,39
k=2,100,1.53,8,1903
greedy,100,1.96,8,3
random,100,4.67,8,0
bad_greedy,100,4.67,8,1
k=1,100,1.92,8,42
k=2,100,1.91,8,2088
greedy,100,1.08,11,4
random,100,4.6,11,0
bad_greedy,100,4.6,11,2
k=1,100,1.06,11,57
k=2,100,1.04,11,2818
greedy,100,0.95,11,4
random,100,4.41,11,0
bad_greedy,100,4.41,11,2
k=1,100,0.92,11,48
k=2,100,0.89,11,2179
greedy,100,0.96,11,4
random,100,4.33,11,0
bad_greedy,100,4.33,11,2
k=1,100,0.93,11,56
k=2,100,0.9,11,2248
greedy,100,1.13,11,3
random,100,4.95,11,0
bad_greedy,100,4.95,11,1
k=1,100,1.05,11,45
k=2,100,1.04,11,1836
greedy,100,1.07,11,3
random,100,4.67,11,0
bad_greedy,100,4.67,11,1
k=1,100,1.05,11,34
k=2,100,1.02,11,1400
greedy,100,1.17,11,3
random,100,4.39,11,0
bad_greedy,100,4.39,11,1
k=1,100,1.14,11,35
k=2,100,1.12,11,1630
greedy,100,1.04,11,3
random,100,4.56,11,0
bad_greedy,100,4.56,11,1
k=1,100,1.01,11,28
k=2,100,0.99,11,1366
greedy,100,1.11,11,3
random,100,4.42,11,0
bad_greedy,100,4.42,11,1
k=1,100,1.09,11,34
k=2,100,1.07,11,1589
greedy,100,0.98,11,3
random,100,4.9,11,0
bad_greedy,100,4.9,11,1
k=1,100,0.97,11,33
k=2,100,0.97,11,1412
greedy,100,1.32,11,3
random,100,4.72,11,0
bad_greedy,100,4.72,11,1
k=1,100,1.28,11,37
k=2,100,1.26,11,1597
greedy,100,1.65,9,3
random,100,4.5,9,0
bad_greedy,100,4.5,9,1
k=1,100,1.65,9,39
