algorithm,budget,coverage,cost_per_coverage,distribution,radius,time
k=2,300,73,4.10959,2,11,2336
greedy,300,100,0.97,3,11,3
random,300,97,3.09278,3,11,0
bad_greedy,300,98,3.0102,3,11,1
k=1,300,100,0.93,3,11,28
k=2,300,100,0.93,3,11,1347
greedy,300,26,10.2692,4,11,3
random,300,6,44.8333,4,11,0
bad_greedy,300,17,15.7059,4,11,1
k=1,300,26,10.2692,4,11,61
k=2,300,26,10.2692,4,11,3019
greedy,300,75,4,2,11,3
random,300,40,7.5,2,11,0
bad_greedy,300,33,9.09091,2,11,1
k=1,300,75,4,2,11,45
k=2,300,75,4,2,11,2241
greedy,300,100,0.96,3,11,3
random,300,98,3.06122,3,11,0
bad_greedy,300,99,3.0303,3,11,1
k=1,300,100,0.95,3,11,33
k=2,300,100,0.94,3,11,1602
greedy,300,20,13.4,4,11,3
random,300,7,42,4,11,0
bad_greedy,300,9,29.3333,4,11,1
k=1,300,23,12.087,4,11,66
k=2,300,23,12.087,4,11,3208
greedy,300,72,4.16667,2,11,4
random,300,43,6.97674,2,11,0
bad_greedy,300,24,12.5,2,11,1
k=1,300,72,4.16667,2,11,55
k=2,300,72,4.16667,2,11,2692
greedy,300,100,1.21,3,11,3
random,300,94,3.18085,3,11,0
bad_greedy,300,97,3.04124,3,11,1
k=1,300,100,1.14,3,11,34
k=2,300,100,1.11,3,11,1643
greedy,300,34,8.70588,4,11,4
random,300,9,31.7778,4,11,0
bad_greedy,300,26,10.0769,4,11,1
k=1,300,34,8.70588,4,11,66
k=2,300,34,8.70588,4,11,3348
greedy,300,70,4.28571,2,11,3
random,300,52,5.76923,2,11,0
bad_greedy,300,33,9.09091,2,11,1
k=1,300,70,4.28571,2,11,61
k=2,300,70,4.28571,2,11,2579
greedy,300,100,1.08,3,11,3
random,300,97,3.09278,3,11,0
bad_greedy,300,96,3.0625,3,11,1
k=1,300,100,1.06,3,11,37
k=2,300,100,1.06,3,11,1841
greedy,300,23,11.087,4,11,3
random,300,9,31.3333,4,11,0
bad_greedy,300,16,15.8125,4,11,1
k=1,300,23,11.087,4,11,63
k=2,300,23,11.087,4,11,3239
greedy,300,75,4,2,11,3
random,300,50,6,2,11,0
bad_greedy,300,29,10.3448,2,11,1
