algorithm,budget,coverage,cost_per_coverage,time
greedy,2300,74,30.7703,4
random,2300,45,50.2,0
bad_greedy,2300,50,44.1,2
k=1,2300,74,30.1351,67
k=2,2300,74,30.1351,3235
greedy,2300,76,29.3947,4
random,2300,43,53.1163,0
bad_greedy,2300,53,43.3585,2
k=1,2300,76,29.3947,74
k=2,2300,76,29.3947,3099
greedy,2300,72,31.625,3
random,2300,40,57.475,0
bad_greedy,2300,48,46.2083,1
k=1,2300,72,31.625,47
k=2,2300,72,31.625,3061
greedy,2300,67,33.9104,4
random,2300,33,68.6667,0
bad_greedy,2300,45,48.7556,2
k=1,2300,67,33.9104,54
k=2,2300,67,33.9104,2636
greedy,2300,79,28.8228,4
random,2300,41,55.3902,0
bad_greedy,2300,59,37.8814,1
k=1,2300,79,28.1392,52
k=2,2300,79,28.1392,2712
greedy,2300,77,29.6494,3
random,2300,48,46.9375,0
bad_greedy,2300,44,50.2273,2
k=1,2300,77,29,49
k=2,2300,77,29,2785
greedy,2300,64,35.0625,4
random,2300,23,98.1739,0
bad_greedy,2300,45,50.9333,1
k=1,2300,64,34.9219,69
k=2,2300,65,35.3077,3400
greedy,2300,80,28.0625,4
random,2300,48,47.7292,0
bad_greedy,2300,52,43.3077,1
k=1,2300,81,28.3333,50
k=2,2300,81,28.3333,2854
greedy,2600,84,30.2857,3
random,2600,42,60.4524,0
bad_greedy,2600,55,45.4182,1
k=1,2600,84,30.25,37
k=2,2600,84,30.25,1786
greedy,2600,79,32.7342,3
random,2600,38,68.1053,0
bad_greedy,2600,53,48.6604,1
k=1,2600,79,32.7342,55
k=2,2600,79,32.7342,2299
greedy,2600,78,32.7692,3
random,2600,46,56.5,0
bad_greedy,2600,53,48.0943,1
k=1,2600,78,32.2179,41
k=2,2600,78,32.1538,2036
greedy,2600,73,34.6027,3
random,2600,41,62.9268,0
bad_greedy,2600,53,47.566,1
k=1,2600,73,34.6027,47
k=2,2600,73,34.6027,2277
greedy,2600,76,33.4342,3
random,2600,46,55.6087,0
bad_greedy,2600,60,42.6333,1
k=1,2600,76,33.4342,43
k=2,2600,76,33.4342,2110
greedy,2600,75,34.1733,3
random,2600,47,54.3617,0
bad_greedy,2600,48,53.0417,1
k=1,2600,76,33.8553,48
k=2,2600,76,33.8553,2339
greedy,2600,78,32.7564,3
random,2600,45,56.7333,0
bad_greedy,2600,56,45.3214,1
k=1,2600,79,32.8101,47
k=2,2600,79,32.8101,2280
greedy,2600,81,31.5802,3
random,2600,44,58.2045,0
bad_greedy,2600,57,44.9474,1
k=1,2600,81,31.4815,43
k=2,2600,81,31.4815,2078
